Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genres,Artist,Song
0.402,0.511,6,-7.148,0,0.0276,0.421,0.000539,0.0968,0.204,151.342,"new romantic, proto-techno, synthpop, zolo",Yello,The Rhythm Divine
0.381,0.186,4,-15.477,1,0.029,0.613,2.75e-06,0.0694,0.142,65.058,"classic rock, folk, folk rock, singer-songwriter",,Without You
0.547,0.741,0,-8.127,1,0.163,0.822,0.0,0.117,0.637,82.589,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Drake,The Resistance
0.386,0.911,4,-6.474,0,0.0956,0.000608,0.443,0.135,0.188,158.045,"hard rock, metal, old school thrash, rock, thrash metal",Metallica,Whiplash
0.633,0.922,11,-4.842,0,0.0454,0.116,0.000465,0.071,0.686,84.11,"dance pop, pop",Britney Spears,Born to Make You Happy
0.674,0.74,11,-4.517,0,0.0419,0.000637,0.0,0.111,0.431,143.998,pop,Maroon 5,Lucky Strike
0.723,0.819,0,-7.764,1,0.0309,0.0178,0.0,0.223,0.577,116.984,"dance pop, europop, girl group, talent show",Sugababes,Ugly
0.624,0.654,8,-6.582,0,0.183,0.577,0.0,0.104,0.564,73.898,"dance pop, pop",Justin Timberlake,Cry Me a River
0.611,0.556,9,-5.761,1,0.0288,0.175,7.14e-05,0.0359,0.252,126.532,"permanent wave, pop",Coldplay,God Put a Smile upon Your Face
0.665,0.793,5,-3.888,0,0.0302,0.0166,0.000215,0.113,0.475,135.011,"alternative dance, electropop, indietronica, neo-synthpop, shimmer pop, swedish electropop, swedish indie pop, swedish synthpop",Miike Snow,Black & Blue
0.884,0.869,11,-6.574,0,0.0758,0.607,0.00168,0.0741,0.94,125.044,"funk, soul, vocal jazz",James Brown,Super Bad
0.585,0.795,2,-8.269,0,0.0358,0.0412,0.291,0.0834,0.865,109.011,,Frida,I Know There's Something Going On
0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02,"hip hop, pittsburgh rap, pop rap, rap, southern hip hop, trap",Wiz Khalifa,Black and Yellow
0.666,0.855,9,-5.051,0,0.0295,0.179,1.2e-06,0.0987,0.803,125.639,"alternative rock, athens indie, permanent wave, rock",R.E.M.,Losing My Religion
0.542,0.914,0,-4.747,0,0.113,0.0161,0.0,0.744,0.576,153.993,"chicago rap, hip hop, rap",Kanye West,Power
0.693,0.705,8,-5.747,1,0.0665,0.0228,0.0,0.202,0.45,131.951,"dance pop, pop",Britney Spears,Till The World Ends
0.641,0.754,0,-8.81,1,0.0438,0.421,0.000284,0.439,0.813,128.925,,,Breakaway
0.653,0.28,2,-18.087,1,0.0383,0.834,0.922,0.0793,0.54,101.729,"latin jazz, musica tradicional cubana, world",Buena Vista Social Club,Buena Vista Social Club
0.633,0.823,5,-5.792,1,0.0287,0.0516,0.000496,0.188,0.444,115.107,"album rock, classic rock, hard rock, rock",Aerosmith,Janie's Got a Gun
0.435,0.887,9,-4.07,1,0.0637,0.000747,0.0,0.0327,0.408,199.939,"emo, modern rock, pop, rock",Fall Out Boy,"This Ain't A Scene, It's An Arms Race"
0.413,0.881,11,-5.541,0,0.0367,5.99e-05,0.000308,0.0805,0.364,158.066,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",Foo Fighters,Everlong
0.631,0.804,7,-5.492,1,0.166,0.00589,0.00116,0.16,0.671,79.898,"alternative rock, experimental rock, grunge, noise rock, psychedelic punk, punk",Butthole Surfers,Pepper
0.764,0.739,1,-6.422,1,0.0574,0.403,0.0,0.0821,0.77,132.995,"bachata, latin hip hop, latin pop, trap latino, urbano latino",Romeo Santos,Promise
0.638,0.807,11,-7.232,0,0.12,0.00057,0.722,0.097,0.155,132.962,"escape room, hip house, lgbtq+ hip hop, trap queen",Azealia Banks,Yung Rapunxel
0.71,0.68,1,-4.676,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,"dance pop, pop",Ke$ha,Cannibal
0.252,0.86,6,-4.096,1,0.0979,0.0547,0.0,0.341,0.364,206.788,"dance pop, hip pop, r&b, urban contemporary",Keri Hilson,Make Love
0.188,0.707,2,-10.066,0,0.0464,4.82e-05,0.827,0.0957,0.325,87.997,"grungegaze, nu gaze, shoegaze, spacegrunge",Swervedriver,Never Lose That Feeling
0.619,0.603,9,-9.481,1,0.0342,0.712,0.0,0.0721,0.958,127.433,"adult standards, classic rock, folk rock, mellow gold, rock-and-roll, rockabilly, singer-songwriter, soft rock",Roy Orbison,"Oh, Pretty Woman"
0.648,0.593,10,-6.267,1,0.0509,0.0188,0.0,0.169,0.719,160.984,"pop, r&b",Beyonce,Party
0.492,0.824,2,-8.523,1,0.106,0.0758,0.000961,0.147,0.331,85.174,"album rock, art rock, classic rock, hard rock, mellow gold, new romantic, progressive rock, rock, soft rock, symphonic rock",Genesis,I Know What I Like
0.609,0.857,5,-8.729,0,0.036,0.133,0.699,0.151,0.961,119.987,"electronica, folktronica, indietronica, intelligent dance music, trip hop",Four Tet,Everything Is Alright
0.729,0.78,5,-7.604,1,0.0631,0.114,0.106,0.0759,0.795,111.833,"disco, quiet storm, soul",Barry White,Can't Get Enough Of Your Love Babe
0.452,0.873,9,-4.867,1,0.0613,0.000519,0.0,0.0592,0.433,80.473,"alternative metal, alternative rock, grunge, hard rock, nu metal, permanent wave, post-grunge, rock, supergroup",Audioslave,Cochise
0.723,0.778,6,-3.867,1,0.0444,0.0292,0.000897,0.0518,0.58,96.459,"dance pop, pop",Christina Aguilera,Slow Down Baby
0.783,0.357,10,-23.0,0,0.15,0.607,0.586,0.547,0.839,112.875,"britpop, welsh indie, welsh rock",Super Furry Animals,Check It Out
0.564,0.859,7,-5.898,1,0.0423,0.236,9.38e-06,0.116,0.336,147.836,"latin pop, puerto rican pop",Carlos Ponce,Rezo
0.832,0.848,7,-7.407,1,0.0545,0.0919,2.83e-05,0.0458,0.901,130.004,"k-pop, k-pop girl group",T-ara,Roly Poly
0.627,0.971,2,-3.017,1,0.0376,0.00376,4.11e-05,0.246,0.605,101.0,"modern rock, permanent wave, punk, rock",Green Day,Let Yourself Go
0.273,0.138,0,-11.734,1,0.0313,0.701,0.0,0.0942,0.106,83.381,"chamber folk, folktronica, indie folk, new americana, rhode island indie, stomp and holler",The Low Anthem,Charlie Darwin
0.306,0.722,0,-5.963,1,0.034,0.0519,0.0,0.117,0.41,174.732,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock",REO Speedwagon,Keep On Loving You
0.702,0.901,1,-4.45,1,0.0264,0.426,0.00153,0.0368,0.919,97.862,christian music,Amy Grant,Baby Baby
0.718,0.82,5,-3.453,0,0.0323,0.0444,0.0,0.0846,0.613,92.998,pop,Maroon 5,One More Night
0.391,0.647,0,-10.882,1,0.0396,0.27,0.0,0.112,0.553,204.411,"dance pop, pop",Cher,Heart of Stone
0.335,0.721,2,-4.981,1,0.0383,3.47e-05,0.0058,0.351,0.407,141.827,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",Marilyn Manson,Putting Holes In Happiness
0.613,0.622,1,-5.794,0,0.0334,0.00882,0.0,0.37,0.484,80.003,pop,Miley Cyrus,We Can't Stop
0.423,0.943,0,-2.808,1,0.498,0.0227,0.0,0.0798,0.165,139.48,"brostep, complextro, edm, electro, pop dance",Skrillex,Try It Out
0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,"barbadian pop, pop, urban contemporary",Rihanna,SOS
0.613,0.962,6,-5.07,0,0.278,0.034,0.0,0.824,0.496,113.015,"alternative dance, dance-punk, electronica, filter house, indietronica, new rave",Justice,D.A.N.C.E
0.384,0.833,11,-9.797,0,0.0779,0.000777,0.00489,0.18,0.357,172.015,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",Marilyn Manson,Antichrist Superstar
0.392,0.642,8,-5.267,1,0.0326,0.0048,0.486,0.296,0.129,92.698,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",Marilyn Manson,Sweet Dreams
0.543,0.899,7,-1.589,0,0.16,0.0219,4.88e-05,0.259,0.441,127.991,"dance pop, pop",Christina Aguilera,Let There Be Love
0.721,0.809,9,-5.18,0,0.0514,0.0451,0.0,0.079,0.611,123.025,"dance pop, post-teen pop",Lindsay Lohan,Bossy
0.76,0.72,10,-7.771,0,0.042,0.107,0.0403,0.305,0.343,122.05,covertronica,,Halo
0.805,0.7,5,-6.602,0,0.0717,0.0998,0.0,0.286,0.777,94.974,"latin hip hop, reggaeton, trap latino, urbano latino",Daddy Yankee,Like You
0.583,0.655,0,-5.407,1,0.0315,0.111,3.57e-06,0.113,0.201,119.759,pop,Miley Cyrus,Adore You
0.511,0.942,0,-10.407,1,0.0429,0.174,1.87e-05,0.139,0.498,97.909,"new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop",Tears For Fears,Shout
0.308,0.113,9,-13.282,0,0.0317,0.956,0.59,0.227,0.257,179.641,pop violin,All,Mary
0.692,0.908,9,-5.364,1,0.0677,0.0251,0.0,0.0933,0.513,124.042,"dance pop, pop, talent show",Kelly Clarkson,Catch My Breath
0.234,0.227,11,-18.535,1,0.0373,0.944,0.869,0.0854,0.0703,101.636,"classical, german opera, german romanticism, late romantic era",Richard Wagner,Ride of the Valkyries
0.525,0.472,4,-9.277,1,0.0739,0.534,0.614,0.11,0.0424,127.945,"art pop, metropopolis, nz pop, pop",Lorde,Ribs
0.571,0.722,9,-5.726,1,0.0944,0.57,0.0,0.0657,0.807,107.745,"colombian pop, latin pop, reggaeton",Fanny Lu,Y Si Te Digo
0.614,0.476,1,-13.301,0,0.0269,0.23,0.000147,0.0808,0.501,107.265,new wave pop,Debbie Harry,Free To Fall
0.487,0.558,5,-5.604,1,0.0275,0.694,0.0,0.131,0.321,81.938,"dance pop, pop",Christina Aguilera,Si No Te Hubiera Conocido
0.663,0.95,7,-4.21,1,0.0619,0.00126,0.0049,0.0753,0.698,116.015,"europop, girl group, talent show",Girls Aloud,Love Machine
0.931,0.818,2,-2.964,1,0.0445,0.0131,0.697,0.0765,0.856,134.015,"k-pop, k-pop girl group",Crayon Pop,Bar Bar Bar
0.463,0.889,1,-10.384,1,0.0652,0.000322,8.37e-05,0.123,0.503,98.264,"hardcore punk, punk, skate punk",Descendents,Myage
0.711,0.801,0,-4.58,1,0.125,0.517,8.37e-06,0.0987,0.78,182.917,"mexican pop, tejano",Selena,Baila Esta Cumbia
0.698,0.197,4,-14.792,1,0.0383,0.655,0.0,0.0716,0.361,122.864,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",Bob Dylan,It's All Over Now Baby Blue
0.473,0.936,6,-5.967,1,0.0647,0.00276,0.0256,0.107,0.639,162.066,"alternative metal, hard rock, industrial, industrial metal, industrial rock, nu metal, post-grunge, rock",Marilyn Manson,We're From America
0.747,0.716,11,-2.457,0,0.0751,0.135,0.0,0.251,0.751,125.006,"hip pop, pop, queens hip hop, rap",Nicki Minaj,Starships
0.394,0.991,11,-3.351,0,0.0716,3.93e-05,0.00125,0.0563,0.834,97.93,,The Bronx,History's Stranglers
0.497,0.511,7,-8.318,1,0.0271,0.702,0.0,0.262,0.591,99.5,"classic rock, country rock, folk, folk rock, rock, roots rock, singer-songwriter",Bob Dylan,Just Like Tom Thumb's Blues
0.571,0.619,7,-6.961,1,0.0244,0.0613,0.0,0.155,0.468,93.096,opm,Daniel Padilla,Simpleng Tulad Mo
0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,"dance pop, miami hip hop, pop",Pitbull,Give Me Everything
0.892,0.764,10,-5.668,0,0.0547,0.0186,0.0358,0.332,0.856,115.014,"dance pop, post-teen pop",Lindsay Lohan,Rumors
0.361,0.843,4,-7.317,0,0.0463,4.33e-05,0.732,0.102,0.0865,95.923,"argentine rock, latin alternative, latin rock, post-punk argentina, rock en espanol, ska argentino",Soda Stereo,En Remolinos
0.241,0.94,9,-3.519,1,0.0706,0.00749,0.00266,0.327,0.199,154.133,"alternative rock, lo-fi, noise pop, noise rock, permanent wave, power pop, shoegaze, slacker rock",Dinosaur Jr,Freak Scene
0.52,0.553,8,-3.546,1,0.0269,0.016,0.0,0.165,0.227,81.949,pop,Taylor Swift,Enchanted
0.552,0.518,5,-10.479,1,0.0265,0.2,0.00938,0.0965,0.45,84.996,"downtempo, electronica, trip hop",Morcheeba,Enjoy The Ride
0.597,0.5,4,-6.216,1,0.0579,0.127,0.0,0.214,0.522,79.071,"boy band, pop",Jonas Brothers,Lovebug
0.54,0.825,1,-8.676,0,0.0643,0.00049,0.0,0.331,0.713,96.946,"hardcore punk, punk, skate punk",Descendents,Kabuki Girl
0.518,0.866,9,-4.476,1,0.0509,0.00413,1.93e-05,0.246,0.671,117.983,"album rock, classic rock, hard rock, rock",Aerosmith,Jaded
0.764,0.749,4,-6.118,0,0.254,0.34,0.0,0.104,0.813,87.861,"latin afrobeat, latin alternative, latin hip hop, latin rock, puerto rican rock, rap conciencia, reggaeton, rock en espanol",Calle 13,Tango del Pecado
0.662,0.847,9,-2.796,0,0.039,0.0695,0.00161,0.0832,0.627,121.056,"dance pop, girl group, post-teen pop, talent show",The Saturdays,Notorious
0.586,0.855,0,-4.131,1,0.0583,0.0853,0.0,0.329,0.42,110.986,,Emmelie de Forest,Only Teardrops
0.463,0.368,9,-11.546,1,0.048,0.376,0.0,0.149,0.75,141.974,"british folk, british singer-songwriter, chamber pop, singer-songwriter",Laura Marling,Ghosts
0.423,0.943,10,-3.962,1,0.0941,0.00119,5.08e-06,0.263,0.404,168.024,"heartland rock, new jersey hardcore, new jersey indie, new jersey punk",The Gaslight Anthem,The '59 Sound
0.434,0.422,7,-13.964,0,0.0375,0.134,2.05e-05,0.0861,0.377,123.201,"british soul, neo soul",Amy Winehouse,Back to Black
0.722,0.912,9,-5.785,1,0.136,0.0303,0.000457,0.91,0.637,109.995,"alternative metal, alternative rock, funk metal, funk rock, modern rock, nu metal, post-grunge, rock",Incubus,You Will Be A Hot Dancer
0.354,0.941,1,-6.984,1,0.0737,4.79e-05,0.66,0.331,0.569,131.442,"alternative rock, grunge, punk",Mudhoney,Touch Me I'm Sick
0.441,0.8,10,-3.268,1,0.0365,0.267,0.0,0.101,0.204,151.011,piano rock,Thriving Ivory,Angels on the Moon
0.404,0.971,2,-4.159,1,0.104,1.35e-05,2.22e-05,0.488,0.186,148.34,"modern alternative rock, modern rock, pop, pov: indie, rock",The 1975,Sex
0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,"europop, swedish pop",ABBA,Gimme! Gimme! Gimme!
0.452,0.571,7,-3.992,1,0.036,0.249,0.0,0.114,0.326,169.884,"barbadian pop, pop, urban contemporary",Rihanna,California King Bed
0.711,0.748,8,-7.318,1,0.131,0.133,0.0,0.461,0.489,127.99,talent show,Alexis Jordan,Happiness
0.963,0.605,9,-6.239,1,0.176,0.0603,5.63e-05,0.238,0.806,129.993,"hip pop, pop, queens hip hop, rap",Nicki Minaj,Anaconda
0.729,0.929,1,-3.297,1,0.238,0.0759,0.000846,0.303,0.884,92.675,"g funk, gangster rap, hip hop, rap, west coast rap",Dr. Dre,Let Me Ride
0.435,0.32,11,-15.761,0,0.0826,0.482,0.0,0.111,0.281,131.1,"art pop, art rock, baroque pop, new wave pop, permanent wave, piano rock, singer-songwriter",Kate Bush,Night Of The Swallow
0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,"neo mellow, piano rock, pop, pop rock",The Fray,How to Save a Life
0.401,0.957,9,-4.542,1,0.0987,0.00166,8.11e-06,0.14,0.44,93.264,"hardcore punk, punk, skate punk",Descendents,Cameage
0.696,0.734,7,-5.294,1,0.0298,0.0485,0.0,0.183,0.711,107.987,"dance pop, pop",Britney Spears,Criminal
0.73,0.797,11,-2.135,1,0.0394,0.0536,0.0,0.0443,0.575,127.985,"dance pop, k-pop, k-pop girl group",2NE1,Go Away
0.306,0.962,4,-6.059,0,0.0688,0.00179,0.788,0.119,0.385,112.446,"dc hardcore, emo, emo punk, emocore, post-hardcore",Rites of Spring,Remainder
0.276,0.986,9,-10.221,0,0.122,0.000633,0.00439,0.349,0.0621,153.64,"metal, speed metal, thrash metal, us power metal",Riot,Thundersteel
0.723,0.721,9,-9.389,0,0.0301,0.0249,0.0108,0.0545,0.646,123.488,"new wave pop, sophisti-pop, trip hop",Everything But The Girl,Missing
0.536,0.494,2,-6.572,0,0.0295,0.515,0.0,0.114,0.385,144.244,"britpop, welsh indie, welsh rock",Super Furry Animals,The Gift That Keeps Giving
0.367,0.84,4,-5.164,1,0.0946,0.0763,0.0221,0.102,0.38,97.095,"britpop, welsh indie, welsh rock",Super Furry Animals,Ice Hockey Hair
0.662,0.911,10,-2.623,0,0.0752,0.0485,3.13e-06,0.262,0.63,104.932,"classic j-pop, eurobeat, j-pop",Ayumi Hamasaki,Bold & Delicious
0.415,0.891,5,-5.014,1,0.036,2.18e-05,0.39,0.379,0.248,156.03,"alternative dance, alternative rock, dance-punk, indie rock, indietronica, modern rock, neo-synthpop, new rave",Bloc Party,Ion Square
0.706,0.842,7,-4.474,1,0.078,0.338,0.0,0.357,0.798,133.998,"latin hip hop, rap latina, reggaeton, trap latino, urbano latino",Ivy Queen,Dime
0.525,0.83,5,-7.615,1,0.0629,0.758,0.00278,0.852,0.447,139.084,"art rock, progressive rock, symphonic rock",Roger Hodgson,Dreamer
0.694,0.824,1,-6.756,1,0.0909,0.119,7.15e-06,0.152,0.675,95.833,"dance pop, pop, urban contemporary",Mariah Carey,Honey
0.719,0.687,1,-5.923,1,0.0643,0.0208,0.0,0.109,0.544,119.921,"dance pop, pop, pop rap",Taio Cruz,Dirty Picture
0.787,0.791,1,-5.607,1,0.0599,0.146,0.0,0.106,0.887,93.995,"latin hip hop, reggaeton, trap latino, urbano latino",Nicky Jam,Travesuras
